id,title,context,question,answers,gpt_3.5_answers
57321849b9d445190005e7dd,Economy_of_Greece,"Greece has tended to lag behind its European Union partners in terms of Internet use, with the gap closing rapidly in recent years. The percentage of households with access to the Internet more than doubled between 2006 and 2013, from 23% to 56% respectively (compared with an EU average of 49% and 79%). At the same time, there has been a massive increase in the proportion of households with a broadband connection, from 4% in 2006 to 55% in 2013 (compared with an EU average of 30% and 76%). However, Greece also has the EU's third highest percentage of people who have never used the Internet: 36% in 2013, down from 65% in 2006 (compared with an EU average of 21% and 42%).",What has the been a massive increase in the number of households with in Greece?,"{'text': ['a broadband connection'], 'answer_start': [394]}","{'text': ['a broadband connection'], 'answer_start': [158]}"
5726e2bf708984140094d4c3,Avicenna,"Avicenna was a devout Muslim and sought to reconcile rational philosophy with Islamic theology. His aim was to prove the existence of God and His creation of the world scientifically and through reason and logic. Avicenna's views on Islamic theology (and philosophy) were enormously influential, forming part of the core of the curriculum at Islamic religious schools until the 19th century. Avicenna wrote a number of short treatises dealing with Islamic theology. These included treatises on the prophets (whom he viewed as ""inspired philosophers""), and also on various scientific and philosophical interpretations of the Quran, such as how Quranic cosmology corresponds to his own philosophical system. In general these treatises linked his philosophical writings to Islamic religious ideas; for example, the body's afterlife.",What religion was Avicenna?,"{'text': ['Muslim'], 'answer_start': [22]}","{'text': ['Muslim'], 'answer_start': [143]}"
56cd8dbf62d2951400fa66f4,The_Legend_of_Zelda:_Twilight_Princess,"The GameCube and Wii versions feature several minor differences in their controls. The Wii version of the game makes use of the motion sensors and built-in speaker of the Wii Remote. The speaker emits the sounds of a bowstring when shooting an arrow, Midna's laugh when she gives advice to Link, and the series' trademark ""chime"" when discovering secrets. The player controls Link's sword by swinging the Wii Remote. Other attacks are triggered using similar gestures with the Nunchuk. Unique to the GameCube version is the ability for the player to control the camera freely, without entering a special ""lookaround"" mode required by the Wii; however, in the GameCube version, only two of Link's secondary weapons can be equipped at a time, as opposed to four in the Wii version.[g]",What part of the Wii is employed to use weapons?,"{'text': ['Wii Remote'], 'answer_start': [171]}","{'text': ['motion sensors and built-in speaker'], 'answer_start': [45]}"
5727b0983acd2414000de9d7,Switzerland,"In many places in Switzerland, household rubbish disposal is charged for. Rubbish (except dangerous items, batteries etc.) is only collected if it is in bags which either have a payment sticker attached, or in official bags with the surcharge paid at the time of purchase. This gives a financial incentive to recycle as much as possible, since recycling is free. Illegal disposal of garbage is not tolerated but usually the enforcement of such laws is limited to violations that involve the unlawful disposal of larger volumes at traffic intersections and public areas. Fines for not paying the disposal fee range from CHF 200–500.",What is the charge for recycling in Switzerland?,"{'text': ['free'], 'answer_start': [357]}","{'text': ['free'], 'answer_start': [186]}"
573195b3e6313a140071d0d7,Steven_Spielberg,"In early 2009, Spielberg shot the first film in a planned trilogy of motion capture films based on The Adventures of Tintin, written by Belgian artist Hergé, with Peter Jackson. The Adventures of Tintin: The Secret of the Unicorn, was not released until October 2011, due to the complexity of the computer animation involved. The world premiere took place on October 22, 2011 in Brussels, Belgium. The film was released in North American theaters on December 21, 2011, in Digital 3D and IMAX. It received generally positive reviews from critics, and grossed over $373 million worldwide. The Adventures of Tintin won the award for Best Animated Feature Film at the Golden Globe Awards that year. It is the first non-Pixar film to win the award since the category was first introduced. Jackson has been announced to direct the second film.",Where did Adventures of Tintin debut?,"{'text': ['Brussels, Belgium'], 'answer_start': [379]}","{'text': ['Brussels, Belgium'], 'answer_start': [769]}"
57288c223acd2414000dfad2,Myanmar,"The government has responded by imposing curfews and by deploying troops in the regions. On 10 June 2012, a state of emergency was declared in Rakhine, allowing the military to participate in administration of the region. The Burmese army and police have been accused of targeting Rohingya Muslims through mass arrests and arbitrary violence. A number of monks' organisations that played a vital role in Myanmar's struggle for democracy have taken measures to block any humanitarian assistance to the Rohingya community.",What happened in Rakhine in the summer of 2012 that had severe implications on the running of the location?,"{'text': ['On 10 June 2012, a state of emergency was declared in Rakhine, allowing the military to participate in administration of the region'], 'answer_start': [89]}","On 10 June 2012, a state of emergency was declared in Rakhine
Start Character Index: 35

{'text': ['On 10 June 2012, a state of emergency was declared in Rakhine'], 'answer_start': [35]}"
5727c1593acd2414000debbb,Exhibition_game,"National Basketball Association teams play eight preseason games per year. Today, NBA teams almost always play each other in the preseason, but mainly at neutral sites within their market areas in order to allow those who can't usually make a trip to a home team's arena during the regular season to see a game close to home; for instance the Minnesota Timberwolves will play games in arenas in North Dakota and South Dakota, while the Phoenix Suns schedule one exhibition game outdoors at Indian Wells Tennis Garden in Indian Wells, California yearly, the only such instance an NBA game takes place in an outdoor venue.",How many preseason games do NBA teams play?,"{'text': ['eight'], 'answer_start': [43]}","{'text': ['eight'], 'answer_start': [41]}"
56d632371c85041400946fe4,Dog,"A Colorado study found bites in children were less severe than bites in adults. The incidence of dog bites in the US is 12.9 per 10,000 inhabitants, but for boys aged 5 to 9, the incidence rate is 60.7 per 10,000. Moreover, children have a much higher chance to be bitten in the face or neck. Sharp claws with powerful muscles behind them can lacerate flesh in a scratch that can lead to serious infections.",A dog scratch can lead to what medical condition?,"{'text': ['infections.'], 'answer_start': [396]}","{'text': ['serious infections'], 'answer_start': [317]}"
5735ec17012e2f140011a0dd,Hunting,"Even as animal domestication became relatively widespread and after the development of agriculture, hunting was usually a significant contributor to the human food supply. The supplementary meat and materials from hunting included protein, bone for implements, sinew for cordage, fur, feathers, rawhide and leather used in clothing. Man's earliest hunting weapons would have included rocks, spears, the atlatl, and bows and arrows. Hunting is still vital in marginal climates, especially those unsuited for pastoral uses or agriculture.[citation needed] For example, Inuit people in the Arctic trap and hunt animals for clothing and use the skins of sea mammals to make kayaks, clothing, and footwear.",Where is hunting still vital?,"{'text': ['marginal climates'], 'answer_start': [458]}",Hunting is still vital in marginal climates
5706a58a75f01819005e7cba,Black_people,"In 2008, the High Court in South Africa ruled that Chinese South Africans who were residents during the apartheid era (and their descendants) are to be reclassified as ""Black people,"" solely for the purposes of accessing affirmative action benefits, because they were also ""disadvantaged"" by racial discrimination. Chinese people who arrived in the country after the end of apartheid do not qualify for such benefits.",Why did some Chinese citizens qualify for benefits? ,"{'text': ['they were also ""disadvantaged"" by racial discrimination.'], 'answer_start': [258]}","{'text': ['because they were also ""disadvantaged"" by racial discrimination.'], 'answer_start': [144]}"
